pair_id,prompt,condition_availability,notes
01,BiasVoltageGenerator,both,
02,CascodeCommonGateInterdigitated,both,
03,CascodeCommonSource,both,
04,CommonSourceAmplifierFoldedDiodeLoad,both,
05,ConstBiasVoltageGen,both,
06,CurrentMirrorNtype,both,
07,CurrentMirrorNtypeCommonCentroid,both,
08,DegenCommonGate,both,
09,DegenCommonSource,both,
10,DeltaSigmaModulator,both,
11,IntegratorStage,both,
12,NAND,both,
13,NMOSArray2x5,both,
14,NMOSArray4x3,both,
15,NOR,both,
16,PTATVoltageGen,both,
17,PTypeDiffPair,both,
18,PushPull,both,
19,RegulatedCascode,both,
20,SourceFollow,both,
21,StrongArmLatch,both,
22,ViaArray3x2,both,
23,VoltageFollower,both,
24,WilsonCurrentMirror,both,
